,attributes,credits,crn,levels,meeting_days,meeting_instructors,meeting_place,meeting_sched_type,meeting_time,meeting_type,number,section,subject,title
0,Lower Division,0.000,56742,Graduate|Professional|Undergraduate,T,Karen Marais,Wilmeth Active Learning Center 1018,Lecture,3:30 pm - 4:20 pm,Class,AAE 20000,001,AAE,Undergraduate Sophomore Seminar
1,Lower Division,3.000,67031,Graduate|Professional|Undergraduate,TR,Shaoshuai Mou,Physics Building 114,Lecture,4:30 pm - 5:45 pm,Class,AAE 20300,002,AAE,Aeromechanics I
2,Lower Division,3.000,13363,Graduate|Professional|Undergraduate,MWF,Smriti Nandan Paul,Wilmeth Active Learning Center 1055,Lecture,7:30 am - 8:20 am,Class,AAE 20300,003,AAE,Aeromechanics I
3,Lower Division,3.000,10002,Graduate|Professional|Undergraduate,MWF,Ritwik Bandyopadhyay,Wetherill Lab of Chemistry 172,Lecture,8:30 am - 9:20 am,Class,AAE 20400,001,AAE,Aeromechanics II
4,Lower Division,1.000,10006,Graduate|Professional|Undergraduate,W,Ricardo Jose Gomez|Waterloo Tsutsui,Neil Armstrong Hall of Engr 3106,Laboratory,11:30 am - 1:20 pm,Class,AAE 20401,001,AAE,Aeromechanics II Laboratory
5,Lower Division,1.000,10004,Graduate|Professional|Undergraduate,R,Eli Vincent Sitchin|Waterloo Tsutsui,Neil Armstrong Hall of Engr 3106,Laboratory,3:30 pm - 5:20 pm,Class,AAE 20401,002,AAE,Aeromechanics II Laboratory
6,Lower Division,1.000,10003,Graduate|Professional|Undergraduate,T,Ricardo Jose Gomez|Waterloo Tsutsui,Neil Armstrong Hall of Engr 3106,Laboratory,7:30 am - 9:20 am,Class,AAE 20401,003,AAE,Aeromechanics II Laboratory
7,Lower Division,1.000,10005,Graduate|Professional|Undergraduate,T,Federico Rios Tascon|Waterloo Tsutsui,Neil Armstrong Hall of Engr 3106,Laboratory,1:30 pm - 3:20 pm,Class,AAE 20401,004,AAE,Aeromechanics II Laboratory
8,Lower Division,1.000,14924,Graduate|Professional|Undergraduate,R,Ishan T Karnik|Waterloo Tsutsui,Neil Armstrong Hall of Engr 3106,Laboratory,1:30 pm - 3:20 pm,Class,AAE 20401,006,AAE,Aeromechanics II Laboratory
9,Lower Division,0.000,14343,Graduate|Professional|Undergraduate,M,Waterloo Tsutsui,Neil Armstrong Hall of Engr 1010,Laboratory Preparation,11:30 am - 12:20 pm,Class,AAE 20401,007,AAE,Aeromechanics II Laboratory
10,Lower Division,1.000,14345,Graduate|Professional|Undergraduate,R,Ricardo Jose Gomez|Waterloo Tsutsui,Neil Armstrong Hall of Engr 3106,Laboratory,7:30 am - 9:20 am,Class,AAE 20401,008,AAE,Aeromechanics II Laboratory
11,Lower Division,1.000,14348,Graduate|Professional|Undergraduate,R,Ishan T Karnik|Waterloo Tsutsui,Neil Armstrong Hall of Engr 3106,Laboratory,9:30 am - 11:20 am,Class,AAE 20401,009,AAE,Aeromechanics II Laboratory
12,Lower Division,3.000,57302,Graduate|Professional|Undergraduate,TR,Timothee Louis Pourpoint,Stewart Center 314,Lecture,1:30 pm - 2:45 pm,Class,AAE 25100,002,AAE,Introduction To Aerospace Design
